Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,0.08,0.083,0.08,0.082,0.082,316907647
2020-09-23,0.082,0.083,0.076,0.077,0.077,501076416
2020-09-24,0.077,0.084,0.076,0.083,0.083,596569914
2020-09-25,0.083,0.098,0.083,0.097,0.097,904408695
2020-09-26,0.097,0.099,0.093,0.096,0.096,649321135
2020-09-27,0.096,0.102,0.095,0.101,0.101,727996428
2020-09-28,0.101,0.106,0.1,0.101,0.101,825058842
2020-09-29,0.1,0.103,0.098,0.101,0.101,688007846
2020-09-30,0.101,0.101,0.097,0.101,0.101,615414657
2020-10-01,0.101,0.104,0.096,0.098,0.098,743737566
2020-10-02,0.098,0.1,0.09,0.093,0.093,828579008
2020-10-03,0.093,0.095,0.093,0.093,0.093,553029310
2020-10-04,0.094,0.097,0.093,0.096,0.096,697459534
2020-10-05,0.096,0.099,0.096,0.098,0.098,625952257
2020-10-06,0.098,0.098,0.092,0.093,0.093,997995413
2020-10-07,0.093,0.094,0.09,0.094,0.094,613251111
2020-10-08,0.094,0.097,0.091,0.096,0.096,690490593
2020-10-09,0.096,0.102,0.095,0.102,0.102,762383014
2020-10-10,0.101,0.111,0.101,0.105,0.105,923715999
2020-10-11,0.105,0.109,0.104,0.107,0.107,797480086
2020-10-12,0.107,0.113,0.103,0.11,0.11,821299647
2020-10-13,0.11,0.114,0.108,0.109,0.109,823217251
2020-10-14,0.109,0.112,0.106,0.107,0.107,713264193
2020-10-15,0.107,0.108,0.105,0.107,0.107,562197282
2020-10-16,0.107,0.107,0.103,0.104,0.104,553561875
2020-10-17,0.104,0.107,0.103,0.106,0.106,472005227
2020-10-18,0.106,0.108,0.105,0.107,0.107,432851135
2020-10-19,0.107,0.111,0.106,0.109,0.109,490775170
2020-10-20,0.109,0.109,0.101,0.102,0.102,707955236
2020-10-21,0.103,0.108,0.102,0.106,0.106,779410099
2020-10-22,0.106,0.112,0.105,0.111,0.111,933335641
2020-10-23,0.111,0.112,0.106,0.108,0.108,1110973427
2020-10-24,0.108,0.11,0.108,0.108,0.108,868194497
2020-10-25,0.108,0.109,0.106,0.106,0.106,722743351
2020-10-26,0.106,0.107,0.099,0.103,0.103,880221833
2020-10-27,0.103,0.105,0.102,0.103,0.103,913522302
2020-10-28,0.103,0.103,0.096,0.099,0.099,876721856
2020-10-29,0.099,0.101,0.095,0.095,0.095,883054980
2020-10-30,0.095,0.096,0.09,0.093,0.093,855782606
2020-10-31,0.093,0.095,0.092,0.093,0.093,662592019
2020-11-01,0.093,0.098,0.093,0.098,0.098,609565849
2020-11-02,0.098,0.1,0.092,0.092,0.092,817756720
2020-11-03,0.092,0.094,0.088,0.093,0.093,859629132
2020-11-04,0.093,0.096,0.092,0.095,0.095,1041738046
2020-11-05,0.095,0.098,0.092,0.097,0.097,554496502
2020-11-06,0.097,0.11,0.097,0.109,0.109,717731180
2020-11-07,0.109,0.113,0.099,0.101,0.101,861840304
2020-11-08,0.101,0.108,0.1,0.107,0.107,625787081
2020-11-09,0.107,0.108,0.101,0.105,0.105,802272882
2020-11-10,0.105,0.109,0.104,0.106,0.106,700753239
2020-11-11,0.106,0.108,0.106,0.106,0.106,631585357
2020-11-12,0.106,0.107,0.103,0.105,0.105,634274545
2020-11-13,0.105,0.108,0.104,0.106,0.106,477838893
2020-11-14,0.106,0.107,0.102,0.104,0.104,432474021
2020-11-15,0.104,0.105,0.099,0.101,0.101,358303858
2020-11-16,0.101,0.105,0.1,0.104,0.104,400498894
2020-11-17,0.105,0.112,0.105,0.11,0.11,622568575
2020-11-18,0.11,0.112,0.104,0.106,0.106,692683324
2020-11-19,0.106,0.108,0.105,0.106,0.106,590674105
2020-11-20,0.106,0.118,0.106,0.118,0.118,688553865
