Tanggal,Kurs
11/17/2022 12:00:00 AM,15687
11/16/2022 12:00:00 AM,15610
11/15/2022 12:00:00 AM,15564
11/14/2022 12:00:00 AM,15499
11/11/2022 12:00:00 AM,15493
11/10/2022 12:00:00 AM,15701
11/9/2022 12:00:00 AM,15654
11/8/2022 12:00:00 AM,15684
11/7/2022 12:00:00 AM,15692
11/4/2022 12:00:00 AM,15736
11/3/2022 12:00:00 AM,15681
11/2/2022 12:00:00 AM,15652
11/1/2022 12:00:00 AM,15647
10/31/2022 12:00:00 AM,15596
10/28/2022 12:00:00 AM,15542
10/27/2022 12:00:00 AM,15573
10/26/2022 12:00:00 AM,15596
10/25/2022 12:00:00 AM,15616
10/24/2022 12:00:00 AM,15590
10/21/2022 12:00:00 AM,15610
10/20/2022 12:00:00 AM,15579
10/19/2022 12:00:00 AM,15491
10/18/2022 12:00:00 AM,15469
10/17/2022 12:00:00 AM,15480
10/14/2022 12:00:00 AM,15390
10/13/2022 12:00:00 AM,15357
10/12/2022 12:00:00 AM,15373
10/11/2022 12:00:00 AM,15362
10/10/2022 12:00:00 AM,15299
10/7/2022 12:00:00 AM,15246
10/6/2022 12:00:00 AM,15197
10/5/2022 12:00:00 AM,15196
10/4/2022 12:00:00 AM,15276
10/3/2022 12:00:00 AM,15293
9/30/2022 12:00:00 AM,15232
9/29/2022 12:00:00 AM,15247
9/28/2022 12:00:00 AM,15243
9/27/2022 12:00:00 AM,15155
9/26/2022 12:00:00 AM,15119
9/23/2022 12:00:00 AM,15035
9/22/2022 12:00:00 AM,15033
9/21/2022 12:00:00 AM,15011
9/20/2022 12:00:00 AM,14975
9/19/2022 12:00:00 AM,14980
9/16/2022 12:00:00 AM,14939
9/15/2022 12:00:00 AM,14899
9/14/2022 12:00:00 AM,14923
9/13/2022 12:00:00 AM,14861
9/12/2022 12:00:00 AM,14839
9/9/2022 12:00:00 AM,14846
9/8/2022 12:00:00 AM,14905
9/7/2022 12:00:00 AM,14927
9/6/2022 12:00:00 AM,14885
9/5/2022 12:00:00 AM,14920
9/2/2022 12:00:00 AM,14900
9/1/2022 12:00:00 AM,14884
8/31/2022 12:00:00 AM,14853
8/30/2022 12:00:00 AM,14875
8/29/2022 12:00:00 AM,14887
8/26/2022 12:00:00 AM,14814
8/25/2022 12:00:00 AM,14827
8/24/2022 12:00:00 AM,14851
8/23/2022 12:00:00 AM,14893
8/22/2022 12:00:00 AM,14882
8/19/2022 12:00:00 AM,14858
8/18/2022 12:00:00 AM,14822
8/16/2022 12:00:00 AM,14767
8/15/2022 12:00:00 AM,14727
8/12/2022 12:00:00 AM,14688
8/11/2022 12:00:00 AM,14799
8/10/2022 12:00:00 AM,14875
8/9/2022 12:00:00 AM,14862
8/8/2022 12:00:00 AM,14915
8/5/2022 12:00:00 AM,14904
8/4/2022 12:00:00 AM,14929
8/3/2022 12:00:00 AM,14917
8/2/2022 12:00:00 AM,14888
8/1/2022 12:00:00 AM,14874
7/29/2022 12:00:00 AM,14860
7/28/2022 12:00:00 AM,14958
7/27/2022 12:00:00 AM,15020
7/26/2022 12:00:00 AM,14984
7/25/2022 12:00:00 AM,14992
7/22/2022 12:00:00 AM,15024
7/21/2022 12:00:00 AM,15017
7/20/2022 12:00:00 AM,14984
7/19/2022 12:00:00 AM,14992
7/18/2022 12:00:00 AM,14986
7/15/2022 12:00:00 AM,14999
7/14/2022 12:00:00 AM,14999
7/13/2022 12:00:00 AM,14985
7/12/2022 12:00:00 AM,14993
7/11/2022 12:00:00 AM,14969
7/8/2022 12:00:00 AM,14981
7/7/2022 12:00:00 AM,14986
7/6/2022 12:00:00 AM,15015
7/5/2022 12:00:00 AM,14990
7/4/2022 12:00:00 AM,14960
7/1/2022 12:00:00 AM,14956
6/30/2022 12:00:00 AM,14882
6/29/2022 12:00:00 AM,14848
6/28/2022 12:00:00 AM,14837
6/27/2022 12:00:00 AM,14802
6/24/2022 12:00:00 AM,14846
6/23/2022 12:00:00 AM,14835
6/22/2022 12:00:00 AM,14860
6/21/2022 12:00:00 AM,14804
6/20/2022 12:00:00 AM,14836
6/17/2022 12:00:00 AM,14828
6/16/2022 12:00:00 AM,14741
6/15/2022 12:00:00 AM,14746
6/14/2022 12:00:00 AM,14729
6/13/2022 12:00:00 AM,14672
6/10/2022 12:00:00 AM,14569
6/9/2022 12:00:00 AM,14555
6/8/2022 12:00:00 AM,14477
6/7/2022 12:00:00 AM,14464
6/6/2022 12:00:00 AM,14462
6/3/2022 12:00:00 AM,14431
6/2/2022 12:00:00 AM,14526
5/31/2022 12:00:00 AM,14592
5/30/2022 12:00:00 AM,14544
5/27/2022 12:00:00 AM,14578
5/25/2022 12:00:00 AM,14645
5/24/2022 12:00:00 AM,14653
5/23/2022 12:00:00 AM,14665
5/20/2022 12:00:00 AM,14661
5/19/2022 12:00:00 AM,14731
5/18/2022 12:00:00 AM,14682
5/17/2022 12:00:00 AM,14651
5/13/2022 12:00:00 AM,14619
5/12/2022 12:00:00 AM,14585
5/11/2022 12:00:00 AM,14546
5/10/2022 12:00:00 AM,14546
5/9/2022 12:00:00 AM,14534
4/28/2022 12:00:00 AM,14480
4/27/2022 12:00:00 AM,14418
4/26/2022 12:00:00 AM,14412
4/25/2022 12:00:00 AM,14452
4/22/2022 12:00:00 AM,14361
4/21/2022 12:00:00 AM,14348
4/20/2022 12:00:00 AM,14351
4/19/2022 12:00:00 AM,14347
4/18/2022 12:00:00 AM,14356
4/14/2022 12:00:00 AM,14349
4/13/2022 12:00:00 AM,14359
4/12/2022 12:00:00 AM,14364
4/11/2022 12:00:00 AM,14370
4/8/2022 12:00:00 AM,14365
4/7/2022 12:00:00 AM,14359
4/6/2022 12:00:00 AM,14364
4/5/2022 12:00:00 AM,14348
4/4/2022 12:00:00 AM,14362
4/1/2022 12:00:00 AM,14364
3/31/2022 12:00:00 AM,14357
3/30/2022 12:00:00 AM,14349
3/29/2022 12:00:00 AM,14364
3/28/2022 12:00:00 AM,14360
3/25/2022 12:00:00 AM,14341
3/24/2022 12:00:00 AM,14361
3/23/2022 12:00:00 AM,14351
3/22/2022 12:00:00 AM,14358
3/21/2022 12:00:00 AM,14341
3/18/2022 12:00:00 AM,14340
3/17/2022 12:00:00 AM,14290
3/16/2022 12:00:00 AM,14311
3/15/2022 12:00:00 AM,14321
3/14/2022 12:00:00 AM,14328
3/11/2022 12:00:00 AM,14306
3/10/2022 12:00:00 AM,14298
3/9/2022 12:00:00 AM,14371
3/8/2022 12:00:00 AM,14394
3/7/2022 12:00:00 AM,14411
3/4/2022 12:00:00 AM,14383
3/2/2022 12:00:00 AM,14373
3/1/2022 12:00:00 AM,14350
2/25/2022 12:00:00 AM,14369
2/24/2022 12:00:00 AM,14371
2/23/2022 12:00:00 AM,14355
2/22/2022 12:00:00 AM,14362
2/21/2022 12:00:00 AM,14329
2/18/2022 12:00:00 AM,14339
2/17/2022 12:00:00 AM,14301
2/16/2022 12:00:00 AM,14278
2/15/2022 12:00:00 AM,14292
2/14/2022 12:00:00 AM,14338
2/11/2022 12:00:00 AM,14359
2/10/2022 12:00:00 AM,14344
2/9/2022 12:00:00 AM,14366
2/8/2022 12:00:00 AM,14385
2/7/2022 12:00:00 AM,14404
2/4/2022 12:00:00 AM,14376
2/3/2022 12:00:00 AM,14381
2/2/2022 12:00:00 AM,14347
1/31/2022 12:00:00 AM,14392
1/28/2022 12:00:00 AM,14381
1/27/2022 12:00:00 AM,14385
1/26/2022 12:00:00 AM,14346
1/25/2022 12:00:00 AM,14358
1/24/2022 12:00:00 AM,14327
1/21/2022 12:00:00 AM,14347
1/20/2022 12:00:00 AM,14354
1/19/2022 12:00:00 AM,14370
1/18/2022 12:00:00 AM,14325
1/17/2022 12:00:00 AM,14323
1/14/2022 12:00:00 AM,14310
1/13/2022 12:00:00 AM,14311
1/12/2022 12:00:00 AM,14302
1/11/2022 12:00:00 AM,14299
1/10/2022 12:00:00 AM,14323
1/7/2022 12:00:00 AM,14360
1/6/2022 12:00:00 AM,14396
1/5/2022 12:00:00 AM,14365
1/4/2022 12:00:00 AM,14310
1/3/2022 12:00:00 AM,14270
12/31/2021 12:00:00 AM,14278
12/30/2021 12:00:00 AM,14269
12/29/2021 12:00:00 AM,14265
12/28/2021 12:00:00 AM,14237
12/27/2021 12:00:00 AM,14225
12/24/2021 12:00:00 AM,14219
12/23/2021 12:00:00 AM,14251
12/22/2021 12:00:00 AM,14264
12/21/2021 12:00:00 AM,14349
12/20/2021 12:00:00 AM,14384
12/17/2021 12:00:00 AM,14343
12/16/2021 12:00:00 AM,14343
12/15/2021 12:00:00 AM,14337
12/14/2021 12:00:00 AM,14348
12/13/2021 12:00:00 AM,14346
12/10/2021 12:00:00 AM,14378
12/9/2021 12:00:00 AM,14351
12/8/2021 12:00:00 AM,14348
