Kurs Jual,Kurs Beli,Tanggal
10594.94,10487.33,9-29-2022
10554.93,10449.19,9-28-2022
10565,10457.71,9-27-2022
10617.04,10510.67,9-26-2022
10365.81,10260.55,9-23-2022
10494.65,10389.5,9-22-2022
10486.99,10381.92,9-21-2022
10491.22,10386.11,9-20-2022
10466.15,10361.29,9-19-2022
10428.68,10322.75,9-16-2022
10467.34,10361.03,9-15-2022
10501.55,10395.59,9-14-2022
10442.68,10336.61,9-13-2022
10479.16,10371.25,12-9-2022
10415.46,10311.12,9-9-2022
10423.6,10319.16,8-9-2022
10567.55,10460.19,7-9-2022
10667.76,10560.86,6-9-2022
10676.24,10567.75,5-9-2022
10738.28,10629.14,2-9-2022
10770.81,10661.33,1-9-2022
10798.45,10690.23,8-31-2022
10787.68,10678.03,8-30-2022
10869.58,10759.07,8-29-2022
10918.19,10808.75,8-26-2022
10930.25,10820.7,8-25-2022
10902.88,10792.03,8-24-2022
10930.65,10821.1,8-23-2022
10922.6,10813.13,8-22-2022
11012.95,10902.56,8-19-2022
11105.08,10992.12,8-18-2022
11087.45,10974.66,8-16-2022
11076.34,10965.31,8-15-2022
11227.45,11114.89,12-8-2022
11078.54,10967.49,11-8-2022
11069.67,10957.09,10-8-2022
11100.1,10988.83,9-8-2022
11240.92,11128.23,8-8-2022
11184.23,11070.47,5-8-2022
11249.87,11137.11,4-8-2022
11438.3,11323.62,3-8-2022
11273.28,11160.27,2-8-2022
11246.55,11133.81,1-8-2022
11089.4,10978.25,7-29-2022
11021.54,10911.08,7-28-2022
11023.29,10912.81,7-27-2022
11049.4,10937.05,7-26-2022
10974.79,10864.8,7-25-2022
10888.95,10779.83,7-22-2022
10904.36,10793.51,7-21-2022
10941.08,10829.85,7-20-2022
10910.55,10799.65,7-19-2022
10853.97,10745.19,7-18-2022
10833.69,10725.12,7-15-2022
10990.24,10880.09,7-14-2022
10975.29,10863.7,7-13-2022
10995.35,10885.16,12-7-2022
11095,10983.79,11-7-2022
11058.76,10946.31,8-7-2022
11159.65,11046.16,7-7-2022
11092.67,10979.87,6-7-2022
11107.27,10995.94,5-7-2022
11094.46,10983.26,4-7-2022
10978.79,10868.75,1-7-2022
10960.15,10847.11,6-30-2022
10989.16,10877.41,6-29-2022
11023.35,10909.62,6-28-2022
11063.5,10950.97,6-27-2022
11007.96,10896.01,6-24-2022
10957.74,10847.91,6-23-2022
10997.95,10887.71,6-22-2022
11062.61,10950.09,6-21-2022
11075.54,10963.71,6-20-2022
11128,11016.45,6-17-2022
11011.84,10901.46,6-16-2022
11031.11,10920.54,6-15-2022
10976.97,10866.93,6-14-2022
10940.63,10829.34,6-13-2022
10941.57,10831.88,10-6-2022
10874.8,10764.18,9-6-2022
10950.15,10840.37,8-6-2022
11116.96,11003.82,7-6-2022
11157.99,11046.12,6-6-2022
11238.36,11125.68,3-6-2022
11463.27,11348.32,2-6-2022
11483.01,11366.07,5-31-2022
11532.5,11413.26,5-30-2022
11585.51,11467.52,5-27-2022
11558.17,11440.47,5-25-2022
11556.76,11439.07,5-24-2022
11506.68,11388.63,5-23-2022
11580.62,11464.49,5-20-2022
11417.94,11303.46,5-19-2022
11383.27,11267.39,5-18-2022
11409.57,11293.41,5-17-2022
11392.76,11276.77,5-13-2022
11261.64,11148.72,12-5-2022
11242.58,11128.15,11-5-2022
11135.68,11023.2,10-5-2022
11117.19,11004.05,9-5-2022
11325.69,11210.37,4-28-2022
11326.29,11212.71,4-27-2022
11337.34,11223.65,4-26-2022
11252.78,11139.94,4-25-2022
11261.9,11145.49,4-22-2022
11230.93,11115.72,4-21-2022
11234.8,11122.14,4-20-2022
11396.35,11280.28,4-19-2022
11497.05,11379.93,4-18-2022
11446.66,11331.86,4-14-2022
11488,11372.79,4-13-2022
11523.06,11405.67,12-4-2022
11634.16,11517.47,11-4-2022
11665.97,11547.09,8-4-2022
11663.42,11544.57,7-4-2022
11742.46,11622.78,6-4-2022
11774.05,11654.05,5-4-2022
11782.42,11660.42,4-4-2022
11815.26,11696.73,1-4-2022
11854.3,11733.45,3-31-2022
11670.97,11552.04,3-30-2022
11578.79,11460.82,3-29-2022
11860.36,11739.45,3-28-2022
11867.14,11748.09,3-25-2022
11926.54,11804.94,3-24-2022
11977.91,11855.78,3-23-2022
12090.19,11968.88,3-22-2022
12125.96,12002.27,3-21-2022
12098.95,11977.55,3-18-2022
12157.7,12033.68,3-17-2022
12215.76,12093.19,3-16-2022
12227.96,12105.26,3-15-2022
12294.79,12169.33,3-14-2022
12404.6,12277.99,11-3-2022
12471.17,12343.88,10-3-2022
12519.23,12391.44,9-3-2022
12598.35,12469.74,8-3-2022
12527.01,12399.14,7-3-2022
12543.3,12417.42,4-3-2022
12550.47,12422.35,2-3-2022
12525.67,12396.74,1-3-2022
12597.35,12468.74,2-25-2022
12531.95,12405.1,2-24-2022
12566.44,12438.15,2-23-2022
12529.93,12404.18,2-22-2022
12511.46,12383.74,2-21-2022
12491.32,12363.8,2-18-2022
12401.17,12272.47,2-17-2022
12428.36,12301.51,2-16-2022
12517.1,12389.33,2-15-2022
12434.98,12308.07,2-14-2022
12474.66,12349.47,11-2-2022
12511.12,12384.48,10-2-2022
12533.1,12406.24,9-2-2022
12576.91,12448.52,8-2-2022
12554.64,12426.48,7-2-2022
12606.11,12477.42,4-2-2022
12590.59,12463.13,3-2-2022
12528.33,12400.45,2-2-2022
12510.09,12384.54,1-31-2022
12581.09,12452.65,1-28-2022
12629.41,12500.46,1-27-2022
12667.71,12539.46,1-26-2022
