NO;Tanggal;Kurs;
563;4/26/2022 12:00:00 AM;14412;
564;4/25/2022 12:00:00 AM;14452;
565;4/22/2022 12:00:00 AM;14361;
566;4/21/2022 12:00:00 AM;14348;
567;4/20/2022 12:00:00 AM;14351;
568;4/19/2022 12:00:00 AM;14347;
569;4/18/2022 12:00:00 AM;14356;
570;4/14/2022 12:00:00 AM;14349;
571;4/13/2022 12:00:00 AM;14359;
572;4/12/2022 12:00:00 AM;14364;
573;4/11/2022 12:00:00 AM;14370;
574;4/8/2022 12:00:00 AM;14365;
575;4/7/2022 12:00:00 AM;14359;
576;4/6/2022 12:00:00 AM;14364;
577;4/5/2022 12:00:00 AM;14348;
578;4/4/2022 12:00:00 AM;14362;
579;4/1/2022 12:00:00 AM;14364;
580;3/31/2022 12:00:00 AM;14357;
581;3/30/2022 12:00:00 AM;14349;
582;3/29/2022 12:00:00 AM;14364;
583;3/28/2022 12:00:00 AM;14360;
584;3/25/2022 12:00:00 AM;14341;
585;3/24/2022 12:00:00 AM;14361;
586;3/23/2022 12:00:00 AM;14351;
587;3/22/2022 12:00:00 AM;14358;
588;3/21/2022 12:00:00 AM;14341;
589;3/18/2022 12:00:00 AM;14340;
590;3/17/2022 12:00:00 AM;14290;
591;3/16/2022 12:00:00 AM;14311;
592;3/15/2022 12:00:00 AM;14321;
593;3/14/2022 12:00:00 AM;14328;
594;3/11/2022 12:00:00 AM;14306;
595;3/10/2022 12:00:00 AM;14298;
596;3/9/2022 12:00:00 AM;14371;
597;3/8/2022 12:00:00 AM;14394;
598;3/7/2022 12:00:00 AM;14411;
599;3/4/2022 12:00:00 AM;14383;
600;3/2/2022 12:00:00 AM;14373;
601;3/1/2022 12:00:00 AM;14350;
602;2/25/2022 12:00:00 AM;14369;
603;2/24/2022 12:00:00 AM;14371;
604;2/23/2022 12:00:00 AM;14355;
605;2/22/2022 12:00:00 AM;14362;
606;2/21/2022 12:00:00 AM;14329;
607;2/18/2022 12:00:00 AM;14339;
608;2/17/2022 12:00:00 AM;14301;
609;2/16/2022 12:00:00 AM;14278;
610;2/15/2022 12:00:00 AM;14292;
611;2/14/2022 12:00:00 AM;14338;
612;2/11/2022 12:00:00 AM;14359;
613;2/10/2022 12:00:00 AM;14344;
614;2/9/2022 12:00:00 AM;14366;
615;2/8/2022 12:00:00 AM;14385;
616;2/7/2022 12:00:00 AM;14404;
617;2/4/2022 12:00:00 AM;14376;
618;2/3/2022 12:00:00 AM;14381;
619;2/2/2022 12:00:00 AM;14347;
620;1/31/2022 12:00:00 AM;14392;
621;1/28/2022 12:00:00 AM;14381;
622;1/27/2022 12:00:00 AM;14385;
623;1/26/2022 12:00:00 AM;14346;
624;1/25/2022 12:00:00 AM;14358;
625;1/24/2022 12:00:00 AM;14327;
626;1/21/2022 12:00:00 AM;14347;
627;1/20/2022 12:00:00 AM;14354;
628;1/19/2022 12:00:00 AM;14370;
629;1/18/2022 12:00:00 AM;14325;
630;1/17/2022 12:00:00 AM;14323;
631;1/14/2022 12:00:00 AM;14310;
632;1/13/2022 12:00:00 AM;14311;
