Kurs Jual,Kurs Beli,Tanggal
11281.23,11166.52,2023-28-02
11339.23,11223.9,2023-27-02
11315.93,11202.51,2023-24-02
11359.25,11243.71,2023-23-02
11330.14,11214.9,2023-22-02
11370.91,11256.93,2023-21-02
11324.04,11208.86,2023-20-02
11396.46,11280.53,2023-17-02
11458.78,11342.21,2023-16-02
11540.5,11421.34,2023-15-02
11571.76,11454.02,2023-14-02
11687.3,11570.12,2023-13-02
11594.38,11478.14,2023-10-02
11606.54,11488.42,2023-09-02
11510.58,11393.47,2023-08-02
11472.76,11356.02,2023-07-02
11641.78,11523.25,2023-06-02
11616.53,11496.47,2023-03-02
11575.84,11457.14,2023-02-02
11581.06,11463.18,2023-01-02
11606.71,11488.55,2023-31-01
11584.49,11468.34,2023-30-01
11607.61,11489.45,2023-27-01
11523.79,11406.51,2023-26-01
11561.6,11443.92,2023-25-01
11787.62,11669.43,2023-24-01
11849.41,11728.75,2023-20-01
11687.68,11569.61,2023-19-01
11837.22,11714.89,2023-18-01
11797.79,11677.67,2023-17-01
11875.5,11754.58,2023-16-01
11737.35,11617.91,2023-13-01
11785.09,11665.18,2023-12-01
11855.42,11734.8,2023-11-01
11840.43,11721.73,2023-10-01
11698.31,11579.33,2023-09-01
11845.4,11725.77,2023-06-01
12050.28,11926.71,2023-05-01
12036.53,11915.85,2023-04-01
11951.02,11831.2,2023-03-01
11855.91,11735.28,2023-02-01
11816.77,11696.56,2022-30-12
11792.21,11674.01,2022-29-12
11842.35,11723.63,2022-28-12
11841.88,11719.64,2022-27-12
11836.24,11714.06,2022-26-12
11874.5,11755.46,2022-23-12
11905.99,11786.64,2022-22-12
11836.73,11716.3,2022-21-12
11562.16,11446.28,2022-20-12
11439.56,11323.27,2022-19-12
11567.12,11449.5,2022-16-12
11582.86,11465.08,2022-15-12
11455.94,11339.46,2022-14-12
11499.79,11382.86,2022-13-12
11482.87,11364.45,2022-12-12
11482.35,11365.61,2022-09-12
11426.87,11310.71,2022-08-12
11428.69,11314.15,2022-07-12
11464.35,11347.75,2022-06-12
11508.2,11391.15,2022-05-12
11495.7,11378.82,2022-02-12
11421.25,11306.79,2022-01-12
11450.68,11334.29,2022-30-11
11422.54,11308.06,2022-29-11
11345.44,11230.93,2022-28-11
11313.94,11197.32,2022-25-11
11175.37,11061.82,2022-24-11
11137.06,11023.91,2022-23-11
11203.36,11089.53,2022-22-11
11275.89,11162.89,2022-21-11
11322.49,11209.03,2022-18-11
11258.83,11144.4,2022-17-11
11228.07,11113.95,2022-16-11
11174.76,11062.77,2022-15-11
11029.59,10919.06,2022-14-11
10792.35,10682.78,2022-11-11
10812.56,10704.23,2022-10-11
10743.2,10634.13,2022-09-11
10688.94,10581.86,2022-08-11
10700.78,10593.59,2022-07-11
10653.29,10546.57,2022-04-11
10678.34,10571.37,2022-03-11
10631.63,10523.7,2022-02-11
10589.81,10483.73,2022-01-11
10617.71,10511.34,2022-31-10
10742.58,10634.96,2022-28-10
10660.4,10553.6,2022-27-10
10542.14,10435.14,2022-26-10
10497.79,10392.64,2022-25-10
10427.42,10321.6,2022-24-10
10446.99,10340.96,2022-21-10
10424.84,10317.66,2022-20-10
10437.29,10331.36,2022-19-10
10467.2,10360.96,2022-18-10
10486.07,10379.62,2022-17-10
10511.33,10404.62,2022-14-10
10569.79,10463.91,2022-13-10
10603.58,10495.91,2022-12-10
10573.17,10465.8,2022-11-10
10576.54,10469.13,2022-10-10
10560.77,10454.96,2022-07-10
10573.23,10467.3,2022-06-10
10614.2,10507.86,2022-05-10
10596.71,10489.09,2022-04-10
10610.04,10503.74,2022-03-10
10588.93,10482.84,2022-30-09
10594.94,10487.33,2022-29-09
10554.93,10449.19,2022-28-09
10565,10457.71,2022-27-09
10617.04,10510.67,2022-26-09
10365.81,10260.55,2022-23-09
10494.65,10389.5,2022-22-09
10486.99,10381.92,2022-21-09
10491.22,10386.11,2022-20-09
10466.15,10361.29,2022-19-09
10428.68,10322.75,2022-16-09
10467.34,10361.03,2022-15-09
10501.55,10395.59,2022-14-09
10442.68,10336.61,2022-13-09
10479.16,10371.25,2022-12-09
10415.46,10311.12,2022-11-09
10423.6,10319.16,2022-10-09
10567.55,10460.19,2022-09-09
10667.76,10560.86,2022-08-09
10676.24,10567.75,2022-07-09
10738.28,10629.14,2022-02-09
10770.81,10661.33,2022-01-09
10798.45,10690.23,2022-31-08
10787.68,10678.03,2022-30-08
10869.58,10759.07,2022-29-08
10918.19,10808.75,2022-26-08
10930.25,10820.7,2022-25-08
10902.88,10792.03,2022-24-08
